app,task,traces
哔哩哔哩漫画,关闭哔哩哔哩漫画的自动购买下一话漫画的功能,点击['漫画'] - 点击['我的'] - 点击['设置、齿轮键'] - 点击['自动购买管理'] - 点击['标题：自动购买设置'] - 点击['开启「自动购买下一话」购买所有漫画时，默认勾选「自动购买下一话」的开启按钮键']
Chrome,将Chrome浏览器的默认搜索引擎设置为Bing,点击['Chrome'] - 点击['更多、溢出菜单、省略号键'] - 点击['设置'] - 点击['搜索引擎Google'] - 点击['Googlegoogle.comBingbing.com百度baidu.com']
keep,去Keep中开启体态评估,点击['Keep'] - 点击['我'] - 点击['菜单、播放列表键'] - 点击['体态评估']
美图秀秀,把当前图片向左旋转90度并保存,点击['编辑'] - 点击['旋转'] - 点击['向左90°'] - 点击['裁剪的同意、选中、提交'] - 点击['保存']
小红书,去小红书查看优惠券,点击['小红书'] - 点击['购物'] - 点击['更多、溢出菜单、省略号键'] - 点击['卡券']
哔哩哔哩漫画,去哔哩哔哩漫画领取大会员的漫画福利券,点击['漫画'] - 点击['我的'] - 点击['资产赛季积分临期'] - 点击['这是你的各种卡券'] - 点击['大会员特权'] - 点击['已领取']
华为运动健康,去华为运动健康关闭语音播报,点击['华为运动健康'] - 点击['运动'] - 点击['图片，或更多、溢出菜单、省略号'] - 点击['运动设置'] - 点击['语音播报的关闭按钮']
日历,去系统应用“日历”中给圣诞节添加提醒事项“买礼物”,点击['日历'] - 点击['25圣诞节'] - 点击['元旦2024年1月1日的加号'] - 在输入框：['默认文本: 标题']输入（“买礼物”）并回车 - 点击['同意、选中、提交键']
日历,给今天下午2点添加提醒事项“去涵英楼上课”,点击['日历'] - 点击['加号键（已选中）'] - 在输入框：['默认文本: 标题']输入（“去涵英楼上课”）并回车 - 点击['12月28日17：00>'] - 点击['15'] - 点击['14'] - 点击['14'] - 点击['确定'] - 点击['同意、选中、提交键']
微信,去微信中进入聊天界面，添加“线条小狗第1弹”表情包,点击['微信'] - 点击['咖啡因从咖啡果中来[动画表情]戳戳'] - 点击['表情包列表、评分良好或喜欢键'] - 点击['搜索、放大键'] - 点击['标题：更多表情>'] - 点击['搜索、放大键'] - 在输入框：['默认文本: （此处搜索）搜索表情']输入（“线条小狗第1弹”）并回车 - 点击['搜索（已选中）'] - 点击['线条小狗Maltese'] - 点击['添加']
携程旅行,去携程旅行预定1月3日到1月4日永宁门附近的民宿,点击['携程旅行'] - 点击['民宿/客栈'] - 点击['标题：西安'] - 在输入框：['默认文本: （此处搜索）全球城市/区域/位置']输入（“永宁门”）并回车 - 点击['标题：永宁门，西安，陕西周边约有21151套民宿'] - 点击['12月28日'] - 点击['3'] - 点击['4'] - 点击['标题：开始搜索']
12306,去铁路12306查看12月30日的G1938次高铁、西安北到徐州东的高铁外卖订餐界面,点击['中国铁路'] - 点击['餐饮·特产'] - 点击['默认文本: 输入车次'] - 点击['G'] - 点击['1'] - 点击['9'] - 点击['3（已选中）'] - 点击['8'] - 点击['确认'] - 点击['默认文本: 12月28日今天'] - 点击['23十一30 休十八'] - 点击['标题：开始订餐'] - 点击['西安北'] - 点击['徐州东'] - 点击['开始订餐']
