领域范围,应用名称,帮助提问,帮助语句内容,任务内容微调,任务内容
影音视听,哔哩哔哩,如何离线缓存视频？,先进入哔哩哔哩APP-首页输入框搜索想看的视频-进入视频播放页后点击[缓存] - 选择相应的集数。,到哔哩哔哩观看“守护解放西第一季”，并下载第一集到手机中。,去哔哩哔哩看“守护解放西第一季”并将第一集缓存到手机里
,,如何购买邀请码？,先进入哔哩哔哩APP - [我的] - 点击[个人空间] / 头像 / ['镜像翻转图标键'] - [编辑资料] - [购买邀请码],在哔哩哔哩购买邀请码。,去哔哩哔哩购买邀请码
,,,,,
,QQ音乐,如何添加歌曲到自建歌单？,先进入app-首页输入框搜索歌曲信息-点击想要的歌曲版本-进入歌曲播放页面-右下方更多，表示更多或者菜单栏 -【加到歌单】，选择想要添加的歌单即可。,在QQ音乐中把“姑娘别哭泣”弹唱版加入到自建歌单“测试”。,去QQ音乐中将弹唱版的“姑娘别哭泣”添加到自建歌单“测试”中
,,如何设置音频的定时关闭？,先进入QQ音乐APP - [我的] - 点击右上角的列表、菜单、待办事项键 - 点击定时关闭的开启键 - 定时关闭的相关设置。,启用QQ音乐的自动关闭功能，并设定为45分钟。,开启QQ音乐的定时关闭，设为45分钟
,,,,,
,,,,,
,喜马拉雅,如何设置音频的定时关闭？,先进入喜马拉雅APP-点击[我的]-[全部服务]-[定时]-定时关闭的相关设置（默认为不开启）。,在喜马拉雅中启动计时关闭功能，并选择听完3集声音。,去喜马拉雅中开启定时关闭功能，并选择播完3集声音
,,如何查看优惠券？,先进入喜马拉雅APP-点击[我的]-[全部服务]-[钱包]-[我的优惠券]。,在喜马拉雅中查看已过期的优惠券。,去喜马拉雅中查看我已过期的优惠券
,,,,,
,哔哩哔哩漫画,如何领取大会员的专属券？,先进入哔哩哔哩漫画APP - 点击[我的] - [资产] - [卡券包] - [大会员特权] - 领取需要的券。,在哔哩哔哩漫画领取大会员的漫画福利券。,去哔哩哔哩漫画领取大会员的漫画福利券
,,如何关闭自动购买下一话漫画的功能？,先进入哔哩哔哩漫画APP - 点击[我的] - 点击设置键 - [自动购买管理] - 点击[标题：自动购买设置]- [开启「自动购买下一话」购买所有漫画时，默认勾选「自动购买下一话」的开启按钮键]。,禁用哔哩哔哩漫画的自动购买下一话漫画功能。,关闭哔哩哔哩漫画的自动购买下一话漫画的功能
,,,,,
,Spotify,如何搜索指定内容？,先进入SpotifyAPP - 点击[搜索] - 在输入框[想听什么]中输入指定内容并回车。,在Spotify中播放“Red Velvet”团体的音乐。,去Spotify中播放艺人团体“Red Velvet”的歌曲
,,如何查找个人的听歌历史？,先进入SpotifyAPP - 点击[音乐库] 。,在Spotify中查看并播放我喜欢的歌曲。,去Spotify中查看我喜欢的歌曲并播放
,,,,,
聊天社交,微信,如何添加特定表情包？,先进入微信APP - 进入文件传输助手的聊天界面- 右下角表情键 - 点击搜索键，不输入内容 - 点击[更多表情>] - 再次点击搜索键 - 在输入框[搜索表情]中输入指定表情包名称并搜索 - 点击列表中的指定表情包 - [添加]。,在微信中进入聊天，添加“线条小狗第1弹”表情包。,去微信中进入聊天界面，添加“线条小狗第1弹”表情包
,,,,,
,小红书,如何查看优惠券?,先进入小红书APP - [购物]- 右上角更多 -[卡券]。,在小红书查看可用的优惠券。,去小红书查看优惠券
,,如何查看收礼记录？,先进入小红书APP - [我]- 左上角的[菜单、播放列表键] -[钱包] - [礼物记录] - [收礼记录]。,在小红书查看收到的礼物记录。,去小红书查看收礼记录
,,,,,
,微博,发出的评论在哪查看？,先进入微博APP - 点击[消息] - [评论] - [所有评论] - 选择[我发出的/Mine]进行查看即可。,在微博中查看我曾发布的评论。,去微博查看我发过的评论
,,怎么关注感兴趣的微博账号？,先进入微博APP - 点击[发现]/[Discover] - 在搜索框中搜索感兴趣的微博账号 - 点击账号页面 - 点击关注。,找到西安交通大学的官方微博并关注。,找到西安交通大学的官方微博并关注
,,,,,
出行导航,高德地图,如何收藏一个地点?,先进入高德地图APP - [我的] - [收藏夹] - 在默认收藏夹中点击[添加地点] - 搜索地点 - 在地点详情页点击[加入收藏]。,在高德地图搜索西安北站并加入收藏。,去高德地图搜索西安北站并收藏
,,如何为收藏夹中的地点设置备注名?,先进入高德地图APP - [我的] - [收藏夹] - 点击收藏点的['更多、溢出菜单、省略号键'] - 点击[设置备注名]/[修改备注名] - 点击原有名称的[关闭或删除键] - 输入新备注名并保存。,在高德地图中将收藏的西安北站设置为高铁站。,去高德地图将收藏的西安北站设置备注名为高铁站
,,,,,
,携程旅行,怎么查别人帮我订的机票？,先进入携程旅行APP - 点击[行程] - 点击右上角的更多- [同步行程] -开启[我的实名证件]。,在携程旅行中查询我已预定的机票。,去携程旅行查别人帮我订的机票
,,怎么预定民宿？,先进入携程旅行APP - 点击[民宿/客栈] - 进入选择日期页面，先点击指定入住日期再点击指定离店日期 - 在[关键字/位置/民宿名]输入框中输入民宿关键字，进行搜索 -选择心仪民宿。,在携程旅行中预定12月14日至12月15日在西安永宁门附近的民宿。,去携程旅行预定12月14日到12月15日西安永宁门附近的民宿
,,如何查看我的旅行路线？,先进入携程旅行APP - [行程] - [我的路线]。,在携程旅行中查看我的旅行路线。,去携程旅行查看我的旅行路线
,,,,,
,铁路12306,怎么查询火车票？,先进入铁路12306APP - （已默认为火车票选择页面）进入日期选择页面，点击查询日期 - 进入左侧的出发地选择页面，选择地点 - 进入右侧的目的地选择页面，选择地点 - 点击[查询车票]。,在铁路12306中查询12月30日从西安到北京的火车票。,去铁路12306查看12月30日从西安到北京的火车票…
,,怎么查询火车票？,先进入铁路12306APP - 点击[在线订票 简单快捷] - 进入日期选择页面，点击指定日期 - 进入出发地选择页面，选择地点 - 进入到达地选择页面，选择地点 - 点击[查询车次]。,在铁路12306中查询12月27日从长沙到重庆的火车票。,去铁路12306查看12月27日从长沙到重庆的火车票
,,,,,
,移动交通大学,,,,
,,,,,
,航旅纵横,如何查看机场大屏？,先进入航旅纵横APP - 点击首页中的[全部] - [行业机构] - [机场专区] - 将当前机场切换到相应机场 - [机场大屏]。,在航旅纵横中查看上海浦东机场的机场大屏。,去航旅纵横查看上海浦东机场的机场大屏
,,如何根据航班号查询航班,先进入航旅纵横APP - 点击[航班动态] - 在航班号的输入框输入航班号 - 点击[航班查询],在航旅纵横中查询CA8888航班。,去航旅纵横查询CA8888航班
,,,,,
购物比价,淘宝,淘宝退款记录删不了怎么办？,先进入淘宝app - [我的淘宝] - 我的订单中点击[退款/售后] - 选择相应订单，删除记录。,去淘宝中删除订单中的第一条退款记录。,删除淘宝订单的第一条退款记录
,,如何给全部订单价保？,先进入淘宝app - [我的淘宝] - [官方客服] - [价保中心] - 一键价保。,在淘宝中为所有订单启用价格保护。,去淘宝给所有订单添加价保
,盒马,,,,
,,,,,
,,如何P图?,可以点击首页[图片美化] 进入修图,,
摄影摄像,美图秀秀,如何现拍一张图片并添加滤镜？,点击[美图秀秀]进入APP - [相机] - [快门键] - [美化] - [滤镜] - [更多] - 在搜索框输入指定滤镜名称 - [使用]。,在美图秀秀中拍摄一张照片，然后应用“深夜食堂”滤镜。,去美图秀秀现拍一张照片并添加滤镜“深夜食堂”
,,,,,
,轻颜,,,,
,,,,,
金融理财,支付宝,如何取消淘宝的免密支付？,先进入支付宝APP - [我的] - [设置] - [支付设置] - [免密支付/自动扣款] - 选择淘宝，关闭服务。,在支付宝中取消淘宝的免密支付。,在支付宝中取消淘宝的免密支付
,,,,,
,微信,如何暂停使用付款码支付功能？,先进入微信APP - 点击右上角加号 - [收付款] -  [使用付款码]的更多、溢出菜单 - [暂停使用]。,在微信中停用付款码支付功能。,在微信中暂停使用付款码支付功能
,,,,,
,支付宝,,,,
,,,,,
美食娱乐,饿了么,如何新增收货地址？,先进入饿了么APP - [我的] - [设置] -[收货地址管理] - [新增地址]  。,在饿了么中添加新的收货地址。,去饿了么中新增收货地址
,,,,,
,美团,,,,
,,,,,
,,,,,
运动健康,keep,如何开启体态评估？,先进入Keep - [我的] - 点击左上角[菜单、播放列表键] - [体态评估]。,在Keep中启用体态评估。,去Keep中开启体态评估
,华为运动健康,如何设置运动自动暂停？,在运动页面选择户外跑步、室内跑步、步行或骑行任一运动类型，点击右上角四个点记号，选择运动设置打开自动暂停开关。,在华为运动健康中设置运动自动暂停。,去华为运动健康设置运动自动暂停
,,如何设置心率上限值？,"先进入华为运动健康app - [我的] - [设置] - [运动设置] - 选择运动类别（默认为跑步类）- 点击[心率上限]
- 选择要设置的心率上限值 - 点击确定",在华为运动健康中将跑步的心率上限设为198次/分钟。,去华为运动健康设置跑步的心率上限值为198次/分钟
,训记,如何查看指定动作的讲解？,先进入训记APP - [动作] - 在搜索框输入指定动作名称并回车 - 点击下方出现的讲解视频。,在训记中观看俯身飞鸟动作的讲解。,去训记中观看俯身飞鸟动作讲解
,,,,,
学习资讯,网易有道词典,如何下载离线词典？,先进入网易有道词典APP - [我的] - [离线词典] - 点击指定词典的下载键。,在网易有道词典中下载离线版本的牛津词典。,去网易有道词典下载离线的牛津词典
,今日头条,如何打开/关闭头条的新闻推送呢?,先进入今日头条APP - 点击[我的]页面 - 页面右上角设置 - 点击[推送通知设置]内开启/关闭该功能。,打开今日头条的新闻推送。,打开今日头条的新闻推送
,微信读书,如何设置私密阅读?,先进入微信读书APP - [书架] - 长按需要设置的书籍 - [私密阅读] - 选择开启,将微信读书的阅读设置为私密。,将微信读书设置为私密阅读
,,如何离线下载书籍?,1多本书籍离线下载：Step1: 在书架中点击编辑，按钮或长按某一本书可激活书架工具栏，进入编辑状态。Step2:勾选需要设置的书籍，然后点击工具栏的[离线下载，按钮。Step3:在跳出的弹框中，点击[开启]可开始自动下载所选书籍的已购内容 (非wifi环境中会再次询问是否开启)。2.单本书籍离线下载：step1: 在阅读界面，点击屏幕中间 (大概竖屏1/3位置)，激活工具栏，并点击右上角三个点的按钮，可展开更多选项。step2:在展开的选项中点击r离线阅读，按钮，可开始自动下载本书的已购内容 (非wifi环境中会再次询问是否开启)。,在微信读书中下载《西游记》。,去微信读书下载西游记
,知乎,如何查找赞过的内容？,先进入知乎APP - [我的] - 点击[点击查看个人主页] - [赞同]。,在知乎中查看我点赞过的内容。,去知乎中查看我赞过的内容
,,,,,
效率办公,记事本？WPS？,,,,
,网易邮箱大师,只能收取1个月的邮件怎么办？,在[设置] - [POP3/SMTP/IMAP] - [设置POP3/SMTP/IMAP] - [IMAP/SMTP服务]中选择[收取全部邮件]。,在网易邮箱大师中设置接收所有邮件。,去网易邮箱大师设置为收取全部邮件
,qq邮箱,,,,
,腾讯会议,,,,
,日历,如何给节日添加提醒事项？,先进入系统应用“日历”中 - 选择对应节日- 点击加号键 - 在标题中输入事项名称 - 若有其他要求就选择相应选项 - 点击同意键,在系统应用“日历”中为圣诞节添加提醒事项“购买礼物”。,去系统应用“日历”中给圣诞节添加提醒事项“买礼物”
,信息,如何查看拦截骚扰信息？,先进入系统应用“日历”中 - 点击右上角“::” 或者菜单键 - [骚扰拦截]。,在系统应用“信息”中删除所有骚扰信息。,去系统应用“信息”中删除所有骚扰信息
,Chrome,如何设置搜索引擎？,先进入Chrome浏览器中 - 点击右上角[更多、溢出菜单、省略号键] 或 ['●●●'] - [设置] - 点击搜索引擎。,将Chrome浏览器的默认搜索引擎更改为Bing。,将Chrome浏览器的默认搜索引擎设置为Bing
,,,,,
便捷生活,中国移动,,,,
,菜鸟,如何开启小程序的取件授权？,先进入菜鸟APP - 点击[我的] - [设置] - [取件授权设置] - 点击指定小程序的开启键。,在菜鸟中启用丰巢小程序的取件权限。,去菜鸟开启丰巢小程序的取件授权
,支付宝,怎么查找小程序？,先进入支付宝APP - 在顶部搜索栏输入小程序名字并搜索 - 在出来的搜索列表中点击指定小程序。,在支付宝的“校园派”小程序中为我的校园卡充值。,去支付宝中的“校园派”小程序中给我的校园卡充值
,,,,,
,天气,如何查看指定城市的天气？,先进入系统应用“天气”中 - 点击右上角的[更多、溢出菜单、省略号键] - [管理城市] - [添加城市] - 在备选城市项中点击指定城市。,在系统应用“天气”中查看北京的天气。,去系统应用“天气”中查看北京天气
,联系人,,,,
,,,,,
功能设置,设置,如何将系统时间改为24小时制？,先进入系统应用“设置”中 - 在输入框[搜索设置项]中输入“24”并搜索- 点击列表中出现的“24” - 开启24小时制。,在设置中将时间格式设为24小时制。,去设置中将时间设为24小时制
,,,,,
,支付宝,如何切换深色模式？,先进入支付宝APP - [我的] - 设置键 - [通用] -进入深色模式选择页面 - 点击相应选项- [保存]。,将支付宝的深色模式设置为跟随系统。,支付宝的深色模式设置为跟随系统
,,,,,
,微信,如何在发现页显示别的功能？,先进入微信APP - [我] - 设置键 - [通用] - [发现页管理] - 开启指定功能的显示。,在微信中的“发现”页中添加“搜一搜”功能。,去微信中在我的发现页添加“搜一搜”功能
,,,,,
,哔哩哔哩,怎么查看最新的番剧更新？,想看最新的番剧？轻松一点，打开哔哩哔哩，点击首页，最新番剧都在这里等着你哦！,,
,QQ音乐,怎样创建自己的歌单？,想把最喜欢的歌曲整理在一起？打开QQ音乐，点击创建歌单，随心添加歌曲，分享给好友，一起享受音乐的美好。,,
,喜马拉雅,如何下载有声读物离线收听？,在路上没网？别担心！打开喜马拉雅，找到喜欢的有声读物，点击下载按钮，即可随时随地畅听，再也不怕断网啦！,,
,哔哩哔哩漫画,怎么查看最受欢迎的漫画？,想追最热门的漫画？打开哔哩哔哩漫画，点击排行榜，即可看到大家都在追的热门漫画，赶紧加入漫迷大家庭吧！,,
,Spotify,如何创建个性化的播放列表？,喜欢自定义音乐体验？在Spotify，打开你喜欢的歌曲，点击“添加到播放列表”，创建属于你的个性化歌单，享受专属音乐时光。,,
,小红书,怎样发布自己的购物心得？,发现好货了想分享？打开小红书，点击发布心得，分享你的购物体验，帮助更多人发现好物，也能收获更多有趣的小伙伴。,,
,微博,如何设置屏蔽不喜欢的内容？,不想看到某些内容？在微博，打开设置，选择屏蔽设置，添加关键词或用户，让你的时间线更清爽，只看到你感兴趣的内容。,,
,高德地图,怎么查找周边的美食？,饿了想找好吃的？打开高德地图，点击搜索，选择附近，美食推荐就在眼前，不用愁吃什么啦！,,
,携程旅行,如何查看航班动态？,出行前想知道航班动态？打开携程旅行，输入航班号或航空公司，即可实时查看航班信息，随时了解航班状态。,,
,铁路12306,怎么购买火车票？,出行选择火车？在铁路12306，选择出发地、目的地和日期，点击查询，选好座位后，支付就能轻松搞定，出发前记得带上票哦！,,
,移动交通大学,如何查询公交时刻表？,想知道公交时间？打开移动交通大学，输入线路或站点，即可查看实时公交时刻表，再也不用担心赶不上车啦！,,
,航旅纵横,怎样查看机场登机口信息？,出行前想了解登机信息？打开航旅纵横，输入航班号或机场名，即可查看登机口、航班状态等详细信息，让你出行更便捷。,,
